customer_id,date,product_id,quantity,price
C0001,2015-09-01,C,4,36.7
C0002,2015-09-01,B,1,20.6
C0002,2015-09-01,C,1,42.48
C0004,2015-09-01,B,2,18.39
C0004,2015-09-01,C,2,41.84
C0007,2015-09-01,A,2,9.09
C0008,2015-09-01,C,2,37.68
C0010,2015-09-01,B,1,21.96
C0010,2015-09-01,C,2,42.74
C0013,2015-09-01,A,2,9.92
C0014,2015-09-01,A,3,9.44
C0014,2015-09-01,B,2,18.19
C0016,2015-09-01,B,3,21.44
C0017,2015-09-01,A,1,9.22
C0019,2015-09-01,B,3,20.56
C0019,2015-09-01,C,1,40.32
C0022,2015-09-01,B,2,19.94
C0025,2015-09-01,A,2,10.08
C0025,2015-09-01,B,1,21.98
C0025,2015-09-01,C,2,36.97
C0026,2015-09-01,A,1,9.14
C0026,2015-09-01,B,1,21.44
C0028,2015-09-01,A,2,10.57
C0028,2015-09-01,B,1,19.72
C0031,2015-09-01,B,1,19.79
C0032,2015-09-01,A,2,10.1
C0032,2015-09-01,C,4,43.41
C0034,2015-09-01,A,1,9.91
C0034,2015-09-01,C,3,41.75
C0035,2015-09-01,A,2,10.5
C0035,2015-09-01,C,2,37.26
C0036,2015-09-01,B,3,18.48
C0036,2015-09-01,C,1,40.96
C0040,2015-09-01,A,1,10.5
C0042,2015-09-01,B,4,19.48
C0043,2015-09-01,A,3,9.02
C0043,2015-09-01,B,1,21.76
C0044,2015-09-01,A,1,10.44
C0044,2015-09-01,C,1,43.24
C0046,2015-09-01,B,2,18.04
C0049,2015-09-01,C,4,43.19
C0050,2015-09-01,B,3,20.48
C0053,2015-09-01,A,1,10.6
C0053,2015-09-01,B,3,21.15
C0056,2015-09-01,A,1,9.39
C0056,2015-09-01,C,3,41.13
C0061,2015-09-01,B,1,20.05
C0062,2015-09-01,A,1,10.08
C0062,2015-09-01,B,3,19.46
C0063,2015-09-01,B,3,19.24
C0064,2015-09-01,C,4,40.92
C0066,2015-09-01,B,2,19.77
C0068,2015-09-01,B,2,21.27
C0068,2015-09-01,C,3,37.59
C0069,2015-09-01,B,1,20.52
C0070,2015-09-01,B,1,21.08
C0071,2015-09-01,A,1,9.5
C0071,2015-09-01,B,2,20.67
C0071,2015-09-01,C,3,43.13
C0075,2015-09-01,C,3,41.01
C0077,2015-09-01,B,2,19.63
C0077,2015-09-01,C,2,39.36
C0078,2015-09-01,A,3,9.76
C0080,2015-09-01,A,2,9.44
C0081,2015-09-01,A,2,9.93
C0081,2015-09-01,C,1,40.52
C0084,2015-09-01,C,2,42.66
C0085,2015-09-01,B,3,20.6
C0085,2015-09-01,C,2,43.6
C0086,2015-09-01,C,2,41.6
C0087,2015-09-01,A,2,10.64
C0087,2015-09-01,B,1,19.25
C0087,2015-09-01,C,3,41.72
C0089,2015-09-01,A,3,9.24
C0089,2015-09-01,B,3,19.71
